tn,en
شكون يضرب الجرس؟,Who rang the bell?
ارفع الصوت,Increase the volume
تحقق من الكاميرا متاع الباب,Check the door camera
قص الصوت,Mute the sound
تحقق من الكاميرا متاع الباب,Check the door camera
سكر الشباك,Close the window
افتح الستارة,Open the curtain
طفّي المكيف في بيت النوم,Turn off the AC in the bedroom
شعل الضوء متاع المطبخ,Turn on the kitchen light
افتح الباب,Open the door
زيد الحرارة بدرجتين,Increase the temperature by 2 degrees
ذكرني باش نشرب دواء,Remind me to take my medicine
سَكّر الباب الرئيسي,Lock the main door
حطّ المنبه على السبعة متاع الصباح,Set the alarm for 7 AM
كيفاش الطقس اليوم؟,What's the weather like today?
ارفع الصوت,Increase the volume
شعل الضو متاع الكراج,Turn on the garage light
حطّ المنبه على السبعة متاع الصباح,Set the alarm for 7 AM
حط التكييف على 24 درجة,Set the AC to 24 degrees
حطّ المنبه على السبعة متاع الصباح,Set the alarm for 7 AM
اطفي التلفزة,Turn off the TV
ارفع الصوت,Increase the volume
تحقق من الكاميرا متاع الباب,Check the door camera
اطفي التلفزة,Turn off the TV
سخّن الدوش,Heat the shower
شعل الموسيقى,Play the music
زيد الحرارة بدرجتين,Increase the temperature by 2 degrees
حطّ المنبه على السبعة متاع الصباح,Set the alarm for 7 AM
شعل الموسيقى,Play the music
هبّط الستار في بيت الجلوس,Lower the blinds in the living room
سخّن الدوش,Heat the shower
هبّط الستار في بيت الجلوس,Lower the blinds in the living room
حَلّي الضو في السالون,Turn on the living room light
اطفي التلفزة,Turn off the TV
زيد الحرارة بدرجتين,Increase the temperature by 2 degrees
حط التكييف على 24 درجة,Set the AC to 24 degrees
اطفي التلفزة,Turn off the TV
حَلّي الضو في السالون,Turn on the living room light
شعل الضو متاع الكراج,Turn on the garage light
سخّن الدوش,Heat the shower
سَكّر الباب الرئيسي,Lock the main door
افتح الستارة,Open the curtain
شعل الضو متاع الكراج,Turn on the garage light
سَكّر الباب الرئيسي,Lock the main door
حطّ المنبه على السبعة متاع الصباح,Set the alarm for 7 AM
تحقق من الكاميرا متاع الباب,Check the door camera
حط التكييف على 24 درجة,Set the AC to 24 degrees
سَكّر الباب الرئيسي,Lock the main door
سكر الشباك,Close the window
افتح الستارة,Open the curtain
افتح الستارة,Open the curtain
قص الصوت,Mute the sound
حَلّي الضو في السالون,Turn on the living room light
سَكّر الباب الرئيسي,Lock the main door
سَكّر الباب الرئيسي,Lock the main door
افتح الباب,Open the door
طفّي المكيف في بيت النوم,Turn off the AC in the bedroom
سَكّر الباب الرئيسي,Lock the main door
زيد الحرارة بدرجتين,Increase the temperature by 2 degrees
تحقق من الكاميرا متاع الباب,Check the door camera
شعل الموسيقى,Play the music
بدّل القناة,Change the channel
برمج المكنسة في التسعة متاع الصباح,Schedule the vacuum at 9 AM
سخّن الدوش,Heat the shower
سَكّر الضو في الطابق الثاني,Turn off the light on the second floor
افتح الباب,Open the door
اطفي التلفزة,Turn off the TV
حطّ المنبه على السبعة متاع الصباح,Set the alarm for 7 AM
اطفي التلفزة,Turn off the TV
شعل الضوء متاع المطبخ,Turn on the kitchen light
حَلّي الضو في السالون,Turn on the living room light
سكر الشباك,Close the window
نبهني بعد ساعة,Remind me in one hour
حطّ المنبه على السبعة متاع الصباح,Set the alarm for 7 AM
ذكرني باش نشرب دواء,Remind me to take my medicine
هبّط الستار في بيت الجلوس,Lower the blinds in the living room
اطفي التلفزة,Turn off the TV
شعل الموسيقى,Play the music
افتح الستارة,Open the curtain
قص الصوت,Mute the sound
كيفاش الطقس اليوم؟,What's the weather like today?
حطّ المنبه على السبعة متاع الصباح,Set the alarm for 7 AM
اطفي التلفزة,Turn off the TV
سَكّر الباب الرئيسي,Lock the main door
افتح الستارة,Open the curtain
اطفي التلفزة,Turn off the TV
حط التكييف على 24 درجة,Set the AC to 24 degrees
حَلّي الضو في السالون,Turn on the living room light
كيفاش الطقس اليوم؟,What's the weather like today?
اطفي التلفزة,Turn off the TV
قص الصوت,Mute the sound
اطفي التلفزة,Turn off the TV
بدّل القناة,Change the channel
حَلّي الضو في السالون,Turn on the living room light
شعل الضو متاع الكراج,Turn on the garage light
هبّط الستار في بيت الجلوس,Lower the blinds in the living room
سَكّر الباب الرئيسي,Lock the main door
اطفي التلفزة,Turn off the TV
حطّ المنبه على السبعة متاع الصباح,Set the alarm for 7 AM
طفّي المكيف في بيت النوم,Turn off the AC in the bedroom
ذكرني باش نشرب دواء,Remind me to take my medicine
كيفاش الطقس اليوم؟,What's the weather like today?
حطّ المنبه على السبعة متاع الصباح,Set the alarm for 7 AM
افتح الباب,Open the door
بدّل القناة,Change the channel
سخّن الدوش,Heat the shower
شعل الموسيقى,Play the music
بدّل القناة,Change the channel
وين الهاتف متاعي؟,Where is my phone?
اطفي التلفزة,Turn off the TV
شعل الموسيقى,Play the music
حَلّي الضو في السالون,Turn on the living room light
حطّ المنبه على السبعة متاع الصباح,Set the alarm for 7 AM
طفّي المكيف في بيت النوم,Turn off the AC in the bedroom
طفّي المكيف في بيت النوم,Turn off the AC in the bedroom
هبّط الستار في بيت الجلوس,Lower the blinds in the living room
طفّي المكيف في بيت النوم,Turn off the AC in the bedroom
برد الغرفة شوية,Cool the room a bit
شكون يضرب الجرس؟,Who rang the bell?
حَلّي الضو في السالون,Turn on the living room light
هبّط الستار في بيت الجلوس,Lower the blinds in the living room
افتح الستارة,Open the curtain
حَلّي الضو في السالون,Turn on the living room light
شكون يضرب الجرس؟,Who rang the bell?
زيد الحرارة بدرجتين,Increase the temperature by 2 degrees
سكر الشباك,Close the window
سَكّر الباب الرئيسي,Lock the main door
هبّط الستار في بيت الجلوس,Lower the blinds in the living room
ذكرني باش نشرب دواء,Remind me to take my medicine
سكر الشباك,Close the window
طفّي المكيف في بيت النوم,Turn off the AC in the bedroom
اطفي التلفزة,Turn off the TV
طفّي المكيف في بيت النوم,Turn off the AC in the bedroom
كيفاش الطقس اليوم؟,What's the weather like today?
شعل الضو متاع الكراج,Turn on the garage light
حطّ المنبه على السبعة متاع الصباح,Set the alarm for 7 AM
شعل الضوء متاع المطبخ,Turn on the kitchen light
ذكرني باش نشرب دواء,Remind me to take my medicine
طفّي المكيف في بيت النوم,Turn off the AC in the bedroom
اطفي التلفزة,Turn off the TV
اطفي التلفزة,Turn off the TV
حَلّي الضو في السالون,Turn on the living room light
سكر الشباك,Close the window
زيد الحرارة بدرجتين,Increase the temperature by 2 degrees
بدّل القناة,Change the channel
طفّي المكيف في بيت النوم,Turn off the AC in the bedroom
شكون يضرب الجرس؟,Who rang the bell?
زيد الحرارة بدرجتين,Increase the temperature by 2 degrees
سَكّر الضو في الطابق الثاني,Turn off the light on the second floor
هبّط الستار في بيت الجلوس,Lower the blinds in the living room
شعل الضوء متاع المطبخ,Turn on the kitchen light
حطّ المنبه على السبعة متاع الصباح,Set the alarm for 7 AM
حَلّي الضو في السالون,Turn on the living room light
هبّط الستار في بيت الجلوس,Lower the blinds in the living room
حَلّي الضو في السالون,Turn on the living room light
شعل الموسيقى,Play the music
شكون يضرب الجرس؟,Who rang the bell?
طفّي الضو في الكوجينة,Turn off the kitchen light
شعل الضو متاع الكراج,Turn on the garage light
برمج المكنسة في التسعة متاع الصباح,Schedule the vacuum at 9 AM
افتح الستارة,Open the curtain
سخّن الدوش,Heat the shower
نبهني بعد ساعة,Remind me in one hour
سَكّر الضو في الطابق الثاني,Turn off the light on the second floor
برد الغرفة شوية,Cool the room a bit
تحقق من الكاميرا متاع الباب,Check the door camera
حَلّي الضو في السالون,Turn on the living room light
بدّل القناة,Change the channel
حَلّي الضو في السالون,Turn on the living room light
حط التكييف على 24 درجة,Set the AC to 24 degrees
شكون يضرب الجرس؟,Who rang the bell?
حط التكييف على 24 درجة,Set the AC to 24 degrees
تحقق من الكاميرا متاع الباب,Check the door camera
سخّن الدوش,Heat the shower
شعل الموسيقى,Play the music
شعل الضو متاع الكراج,Turn on the garage light
زيد الحرارة بدرجتين,Increase the temperature by 2 degrees
وين الهاتف متاعي؟,Where is my phone?
كيفاش الطقس اليوم؟,What's the weather like today?
وين الهاتف متاعي؟,Where is my phone?
تحقق من الكاميرا متاع الباب,Check the door camera
بدّل القناة,Change the channel
سَكّر الضو في الطابق الثاني,Turn off the light on the second floor
كيفاش الطقس اليوم؟,What's the weather like today?
شعل الضوء متاع المطبخ,Turn on the kitchen light
سخّن الدوش,Heat the shower
شعل الضو متاع الكراج,Turn on the garage light
تحقق من الكاميرا متاع الباب,Check the door camera
برمج المكنسة في التسعة متاع الصباح,Schedule the vacuum at 9 AM
افتح الستارة,Open the curtain
شعل الموسيقى,Play the music
نبهني بعد ساعة,Remind me in one hour
افتح الباب,Open the door
برمج المكنسة في التسعة متاع الصباح,Schedule the vacuum at 9 AM
زيد الحرارة بدرجتين,Increase the temperature by 2 degrees
طفّي المكيف في بيت النوم,Turn off the AC in the bedroom
ارفع الصوت,Increase the volume
زيد الحرارة بدرجتين,Increase the temperature by 2 degrees
وين الهاتف متاعي؟,Where is my phone?
ذكرني باش نشرب دواء,Remind me to take my medicine
كيفاش الطقس اليوم؟,What's the weather like today?
زيد الحرارة بدرجتين,Increase the temperature by 2 degrees
طفّي المكيف في بيت النوم,Turn off the AC in the bedroom
شعل الموسيقى,Play the music
برمج المكنسة في التسعة متاع الصباح,Schedule the vacuum at 9 AM
طفّي الضو في الكوجينة,Turn off the kitchen light
شعل الموسيقى,Play the music
حط التكييف على 24 درجة,Set the AC to 24 degrees
طفّي المكيف في بيت النوم,Turn off the AC in the bedroom
افتح الباب,Open the door
طفّي الضو في الكوجينة,Turn off the kitchen light
سَكّر الباب الرئيسي,Lock the main door
حط التكييف على 24 درجة,Set the AC to 24 degrees
تحقق من الكاميرا متاع الباب,Check the door camera
سَكّر الضو في الطابق الثاني,Turn off the light on the second floor
هبّط الستار في بيت الجلوس,Lower the blinds in the living room
سَكّر الباب الرئيسي,Lock the main door
نبهني بعد ساعة,Remind me in one hour
برمج المكنسة في التسعة متاع الصباح,Schedule the vacuum at 9 AM
سكر الشباك,Close the window
شعل الضو متاع الكراج,Turn on the garage light
حَلّي الضو في السالون,Turn on the living room light
زيد الحرارة بدرجتين,Increase the temperature by 2 degrees
زيد الحرارة بدرجتين,Increase the temperature by 2 degrees
طفّي المكيف في بيت النوم,Turn off the AC in the bedroom
قص الصوت,Mute the sound
اطفي التلفزة,Turn off the TV
وين الهاتف متاعي؟,Where is my phone?
زيد الحرارة بدرجتين,Increase the temperature by 2 degrees
حَلّي الضو في السالون,Turn on the living room light
زيد الحرارة بدرجتين,Increase the temperature by 2 degrees
افتح الباب,Open the door
نبهني بعد ساعة,Remind me in one hour
طفّي المكيف في بيت النوم,Turn off the AC in the bedroom
زيد الحرارة بدرجتين,Increase the temperature by 2 degrees
افتح الستارة,Open the curtain
شعل الموسيقى,Play the music
كيفاش الطقس اليوم؟,What's the weather like today?
زيد الحرارة بدرجتين,Increase the temperature by 2 degrees
زيد الحرارة بدرجتين,Increase the temperature by 2 degrees
طفّي الضو في الكوجينة,Turn off the kitchen light
طفّي المكيف في بيت النوم,Turn off the AC in the bedroom
سكر الشباك,Close the window
حطّ المنبه على السبعة متاع الصباح,Set the alarm for 7 AM
اطفي التلفزة,Turn off the TV
طفّي المكيف في بيت النوم,Turn off the AC in the bedroom
سَكّر الباب الرئيسي,Lock the main door
طفّي الضو في الكوجينة,Turn off the kitchen light
سَكّر الضو في الطابق الثاني,Turn off the light on the second floor
حطّ المنبه على السبعة متاع الصباح,Set the alarm for 7 AM
طفّي الضو في الكوجينة,Turn off the kitchen light
تحقق من الكاميرا متاع الباب,Check the door camera
افتح الستارة,Open the curtain
زيد الحرارة بدرجتين,Increase the temperature by 2 degrees
سَكّر الباب الرئيسي,Lock the main door
بدّل القناة,Change the channel
ذكرني باش نشرب دواء,Remind me to take my medicine
هبّط الستار في بيت الجلوس,Lower the blinds in the living room
شعل الضوء متاع المطبخ,Turn on the kitchen light
حطّ المنبه على السبعة متاع الصباح,Set the alarm for 7 AM
شعل الضوء متاع المطبخ,Turn on the kitchen light
طفّي المكيف في بيت النوم,Turn off the AC in the bedroom
سكر الشباك,Close the window
ذكرني باش نشرب دواء,Remind me to take my medicine
سَكّر الباب الرئيسي,Lock the main door
سخّن الدوش,Heat the shower
سَكّر الضو في الطابق الثاني,Turn off the light on the second floor
سخّن الدوش,Heat the shower
طفّي الضو في الكوجينة,Turn off the kitchen light
اطفي التلفزة,Turn off the TV
برد الغرفة شوية,Cool the room a bit
ارفع الصوت,Increase the volume
سَكّر الباب الرئيسي,Lock the main door
طفّي الضو في الكوجينة,Turn off the kitchen light
شعل الضوء متاع المطبخ,Turn on the kitchen light
زيد الحرارة بدرجتين,Increase the temperature by 2 degrees
نبهني بعد ساعة,Remind me in one hour
افتح الباب,Open the door
نبهني بعد ساعة,Remind me in one hour
قص الصوت,Mute the sound
هبّط الستار في بيت الجلوس,Lower the blinds in the living room
وين الهاتف متاعي؟,Where is my phone?
حَلّي الضو في السالون,Turn on the living room light
بدّل القناة,Change the channel
شعل الضو متاع الكراج,Turn on the garage light
شعل الموسيقى,Play the music
كيفاش الطقس اليوم؟,What's the weather like today?
برد الغرفة شوية,Cool the room a bit
افتح الستارة,Open the curtain
كيفاش الطقس اليوم؟,What's the weather like today?
اطفي التلفزة,Turn off the TV
اطفي التلفزة,Turn off the TV
طفّي المكيف في بيت النوم,Turn off the AC in the bedroom
برد الغرفة شوية,Cool the room a bit
برد الغرفة شوية,Cool the room a bit
شعل الموسيقى,Play the music
شعل الموسيقى,Play the music
برد الغرفة شوية,Cool the room a bit
هبّط الستار في بيت الجلوس,Lower the blinds in the living room
شعل الضوء متاع المطبخ,Turn on the kitchen light
حط التكييف على 24 درجة,Set the AC to 24 degrees
شعل الضوء متاع المطبخ,Turn on the kitchen light
شعل الموسيقى,Play the music
اطفي التلفزة,Turn off the TV
وين الهاتف متاعي؟,Where is my phone?
اطفي التلفزة,Turn off the TV
شعل الضوء متاع المطبخ,Turn on the kitchen light
حطّ المنبه على السبعة متاع الصباح,Set the alarm for 7 AM
حَلّي الضو في السالون,Turn on the living room light
برمج المكنسة في التسعة متاع الصباح,Schedule the vacuum at 9 AM
ارفع الصوت,Increase the volume
اطفي التلفزة,Turn off the TV
افتح الباب,Open the door
شعل الضوء متاع المطبخ,Turn on the kitchen light
افتح الباب,Open the door
وين الهاتف متاعي؟,Where is my phone?
شعل الضوء متاع المطبخ,Turn on the kitchen light
حطّ المنبه على السبعة متاع الصباح,Set the alarm for 7 AM
قص الصوت,Mute the sound
سَكّر الباب الرئيسي,Lock the main door
هبّط الستار في بيت الجلوس,Lower the blinds in the living room
حَلّي الضو في السالون,Turn on the living room light
حَلّي الضو في السالون,Turn on the living room light
سَكّر الضو في الطابق الثاني,Turn off the light on the second floor
شعل الضوء متاع المطبخ,Turn on the kitchen light
زيد الحرارة بدرجتين,Increase the temperature by 2 degrees
وين الهاتف متاعي؟,Where is my phone?
قص الصوت,Mute the sound
قص الصوت,Mute the sound
نبهني بعد ساعة,Remind me in one hour
ارفع الصوت,Increase the volume
زيد الحرارة بدرجتين,Increase the temperature by 2 degrees
سخّن الدوش,Heat the shower
اطفي التلفزة,Turn off the TV
اطفي التلفزة,Turn off the TV
شعل الموسيقى,Play the music
شعل الضوء متاع المطبخ,Turn on the kitchen light
سخّن الدوش,Heat the shower
سَكّر الضو في الطابق الثاني,Turn off the light on the second floor
كيفاش الطقس اليوم؟,What's the weather like today?
سَكّر الضو في الطابق الثاني,Turn off the light on the second floor
قص الصوت,Mute the sound
نبهني بعد ساعة,Remind me in one hour
شعل الضو متاع الكراج,Turn on the garage light
اطفي التلفزة,Turn off the TV
طفّي المكيف في بيت النوم,Turn off the AC in the bedroom
اطفي التلفزة,Turn off the TV
سَكّر الباب الرئيسي,Lock the main door
حطّ المنبه على السبعة متاع الصباح,Set the alarm for 7 AM
طفّي المكيف في بيت النوم,Turn off the AC in the bedroom
حَلّي الضو في السالون,Turn on the living room light
